Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
Indonesia,2022,895.15,489.73,Low,20.78,13.75,34.99,1075.28,3.1
Indonesia,2024,502.89,311.95,High,48.51,8.44,32.88,2630.69,1.78
Spain,2000,843.39,440.09,Medium,25.16,31.7,34.62,2860.62,4.13
Canada,2021,803.34,478.98,High,45.74,6.13,18.99,1725.5,0.61
Brazil,2022,416.4,353.91,High,26.58,7.95,31.11,988.44,0.8
Turkey,2018,237.78,297.02,Medium,77.33,36.6,16.6,1451.59,2.08
Turkey,2007,412.02,51.58,Low,51.38,29.25,10.34,784.99,3.54
Germany,2014,827.96,68.01,Low,74.79,19.68,35.99,587.56,3.5
Spain,2020,235.36,140.38,High,21.34,29.27,25.71,1531.25,1.9
France,2014,529.19,133.7,High,58.26,31.62,39.51,2236.38,3.51
Germany,2008,808.04,164.64,High,38.42,30.44,21.55,745.15,0.4
Brazil,2020,359.94,187.22,High,45.91,33.91,38.71,2737.66,1.52
Italy,2008,645.79,212.03,Low,72.39,47.31,28.45,587.86,3.5
China,2009,253.18,239.24,Medium,78.8,22.49,25.37,1719.39,1.0
South Africa,2019,118.19,94.49,Medium,34.79,18.55,19.08,2351.51,1.14
Australia,2024,796.44,69.06,Medium,76.9,6.73,34.76,718.83,0.53
Canada,2020,107.98,353.28,High,61.32,11.62,34.86,959.69,1.89
Australia,2008,278.67,291.8,High,77.08,9.78,22.51,249.3,4.14
Russia,2002,856.56,249.86,Medium,53.74,20.09,31.82,2837.45,4.2
Brazil,2019,353.0,335.5,Low,77.65,32.45,23.42,1512.22,4.33
South Korea,2024,973.31,422.46,Medium,73.55,7.09,32.19,286.49,0.28
Australia,2010,979.94,242.46,Low,27.72,37.74,39.83,2507.37,4.97
India,2005,275.59,338.5,High,38.65,22.88,17.87,1751.1,2.56
South Korea,2001,50.57,479.11,Medium,34.58,48.36,29.02,260.33,4.38
China,2006,708.01,427.83,Medium,54.33,30.58,21.4,1407.6,4.54
Spain,2017,456.48,241.7,High,68.17,39.71,26.45,1359.77,2.62
Australia,2001,109.75,340.12,Low,65.56,43.75,36.22,523.64,0.35
China,2016,710.45,129.68,Medium,63.6,45.0,20.43,1319.08,3.03
China,2010,40.86,302.23,Medium,42.52,28.33,12.17,920.14,1.74
